sentence,sentiment_value,word_count,index,sentiment
It was packed beatifully by the seller and same day dispatch.,0,11,97,pos
"Pros
1.",0,2,98,pos
"Very Cheap prize
2.",0,4,99,pos
IOS 9 upgrade.,0,3,100,pos
3.,0,1,101,pos
"Very smooth
4.",0,3,102,pos
"Good build quality

Cons
1.Plastic body
2.",3,7,103,pos
"8GB memory

But even plastic body looks attractive with premium and good plastuc used.",3,14,104,pos
Everyone should go with this phone if you have a budget of 20K its nice to deal with Snapdeal.,3,19,105,pos
"good shipping service at all... offer product is available, customer care also good Best phone my iPhone A mush have deal Good  i phone mobile oparating essy , inter net fast working Amazing product at this price....At first I was reluctant to buy an apple product from snapdeal but the deal made me crazy n I ordered with fingers cr  read more  I have got ths phone in perfect condition and thank you snapdeal for perfect elivery.i guess ur are earning the trust back I got my iPhone 5c white colour in good condition and best rate 
snapdeal rate is always lowest then other sites and store also Worth in this price.",30,112,106,pos
Excellent features.,3,2,107,pos
Overall performance is Good Its an awesome phone Easy and quick returns...,7,12,108,pos
"Original products...

Good job snapdeal...keep it up!!!",3,7,109,pos
Very good product and delivered in time  as committed; true value for money The piece delivered in good conditions...,7,19,110,pos
Received a discount of 1000rs on free charge coupon.,1,9,111,pos
Delivered within 2 days before committed delivery.,1,7,112,pos
"got this at a great discount, the phone is worth it.",5,11,113,pos
"my wife wanted to try an iphone and she is loving it now Price and delivery service are good I received my order on time Good price, Great phone, very happy to own one.",16,34,114,pos
"Recommending to everyone Good , product is satisfied which I got from Snapdeal Ordered for my sister's rakhi gift 1 week prior .",6,23,115,pos
"however it came faster than that..
and thanks for getting offer from recharge site.",2,14,116,pos
great job team.,3,3,117,pos
dream come true The product supplied by Snapdeal is very good at best price.,7,14,118,pos
It is as shown I am very much happy with my product thanks to SNEPDEAL.,5,15,119,pos
Have switched from android to apple and i am pretty satisfied with iPhone 5c .,3,15,120,pos
"Excellent camera , crisp display .",3,6,121,pos
The battery  issue has been solved with the latest ios9 update .,1,12,122,pos
"good as like iphone,  apple , and snapdeal service was good Great product at such amazing price.",15,17,123,pos
Delivery was fast.,0,3,124,pos
N iPhone is amazing.,4,4,125,pos
i bought iphone 5c from snapdeal and the product is absolutly real and it wors properly .. price is also very low then the other online shoping sides ... so thnxx to snapdeal adorable phone and top class service 😘,5,40,126,pos
